Date,Open,High,Low,Close,Adj. Close,Volume
2018-04-19,2701.16,2702.84,2681.90,2693.13,2693.13,3375120000
2018-04-18,2710.11,2717.49,2703.63,2708.64,2708.64,3412030000
2018-04-17,2692.74,2713.34,2692.05,2706.39,2706.39,3286190000
2018-04-16,2670.10,2686.49,2665.16,2677.84,2677.84,3020740000
2018-04-13,2676.90,2680.26,2645.05,2656.30,2656.30,2988540000
2018-04-12,2653.83,2674.72,2653.83,2663.99,2663.99,3045330000
2018-04-11,2643.89,2661.43,2639.25,2642.19,2642.19,3054520000
2018-04-10,2638.41,2665.45,2635.78,2656.87,2656.87,3579130000
2018-04-09,2617.18,2653.55,2610.79,2613.16,2613.16,3076140000
2018-04-06,2645.82,2656.88,2586.27,2604.47,2604.47,3312390000
2018-04-05,2657.36,2672.08,2649.58,2662.84,2662.84,3230430000
2018-04-04,2584.04,2649.86,2573.61,2644.69,2644.69,3369230000
2018-04-03,2592.17,2619.14,2575.49,2614.45,2614.45,3395840000
2018-04-02,2633.45,2638.30,2553.80,2581.88,2581.88,3635780000
2018-03-29,2614.41,2659.07,2609.72,2640.87,2640.87,3572360000
2018-03-28,2611.30,2632.65,2593.06,2605.00,2605.00,3875720000
2018-03-27,2667.57,2674.78,2596.12,2612.62,2612.62,3761320000
2018-03-26,2619.35,2661.36,2601.81,2658.55,2658.55,3538080000
2018-03-23,2646.71,2657.67,2585.89,2588.26,2588.26,3829380000
2018-03-22,2691.36,2695.68,2641.59,2643.69,2643.69,3765460000
2018-03-21,2714.99,2739.14,2709.79,2711.93,2711.93,3434780000
2018-03-20,2715.05,2724.22,2710.05,2716.94,2716.94,3272590000
2018-03-19,2741.38,2741.38,2694.59,2712.92,2712.92,3327460000
2018-03-16,2750.57,2761.85,2749.97,2752.01,2752.01,5429140000
2018-03-15,2754.27,2763.03,2741.47,2747.33,2747.33,3543710000
2018-03-14,2774.06,2777.11,2744.38,2749.48,2749.48,3394630000
2018-03-13,2792.31,2801.90,2758.68,2765.31,2765.31,3324290000
2018-03-12,2790.54,2796.98,2779.26,2783.02,2783.02,3216960000
2018-03-09,2752.91,2786.57,2751.54,2786.57,2786.57,3376870000
2018-03-08,2732.75,2740.45,2722.65,2738.97,2738.97,3206040000
2018-03-07,2710.18,2730.60,2701.74,2726.80,2726.80,3406690000
2018-03-06,2730.18,2732.08,2711.26,2728.12,2728.12,3389030000
2018-03-05,2681.06,2728.09,2675.75,2720.94,2720.94,3733640000
2018-03-02,2658.89,2696.25,2647.32,2691.25,2691.25,3891250000
2018-03-01,2715.22,2730.89,2659.65,2677.67,2677.67,4514490000
2018-02-28,2753.78,2761.52,2713.54,2713.83,2713.83,4244570000
